"","date","chl_large","chl_small","record_total_hrs","presence_total_hrs","mean_sst","whale_presence","presence_lead","month","year"
"446",2011-09-06,0.138850348784511,0.110943377017975,192,1,27.860703125,0.00520833333333333,0.390625,9,2011
"447",2011-09-14,NA,NA,192,75,28.192890625,0.390625,0.328125,9,2011
"448",2011-09-22,0.155757474423457,0.120142384121815,192,63,28.2255208333333,0.328125,0.140625,9,2011
"449",2011-09-30,0.118760387863844,0.0860775522887707,192,27,28.14171875,0.140625,0.354166666666667,9,2011
"450",2011-10-08,0.130174294528034,0.116588169087966,192,68,28.3333854166667,0.354166666666667,0.239583333333333,10,2011
"451",2011-10-16,0.123178617045697,0.108320890615384,192,46,28.8218229166667,0.239583333333333,0.838541666666667,10,2011
"452",2011-10-24,0.106514280503418,0.0754530504345894,192,161,28.9350260416667,0.838541666666667,0.932291666666667,10,2011
"453",2011-11-01,0.0944641074165702,0.080286322782437,192,179,29.0225260416667,0.932291666666667,0.734375,11,2011
"454",2011-11-09,0.0977379363214615,0.0961434096097946,192,141,29.1368489583333,0.734375,0.927083333333333,11,2011
"455",2011-11-17,0.125760180966837,0.116883938511213,192,178,28.9599479166667,0.927083333333333,1,11,2011
"456",2011-11-25,0.135627433937043,0.127908192574978,192,192,28.8309114583333,1,1,11,2011
"457",2011-12-03,0.142465686477307,0.139139302074909,192,192,28.9997395833333,1,1,12,2011
"458",2011-12-11,0.107234745752066,0.0967705063521862,192,192,28.9476302083333,1,1,12,2011
"459",2011-12-19,0.117332313920705,0.0923174545168877,192,192,28.7341927083333,1,1,12,2011
"460",2011-12-27,NA,NA,120,120,28.0756666666667,1,1,12,2011
"461",2012-01-01,0.146169231754952,0.13365669734776,192,192,28.1484114583333,1,0.994708994708995,1,2012
"462",2012-01-09,0.148386578317042,0.138016328215599,189,188,27.9900260416667,0.994708994708995,0.993991416309013,1,2012
"463",2012-01-17,NA,NA,116.5,115.8,27.8804427083334,0.993991416309013,0.953125,1,2012
"464",2012-01-25,0.131831828504801,0.104091443121433,192,183,27.9163541666667,0.953125,0.494791666666667,1,2012
"465",2012-02-02,0.133547664817536,0.12781023234129,192,95,28.1288020833333,0.494791666666667,0.317708333333333,2,2012
"466",2012-02-10,0.1182068048252,0.105570532381535,192,61,28.3236458333334,0.317708333333333,0,2,2012
"467",2012-02-18,0.11786043925302,0.0880720093846321,192,0,27.9922916666667,0,0.0364583333333333,2,2012
"468",2012-02-26,0.146648009183506,0.145810934901237,192,7,28.1834114583333,0.0364583333333333,0.0625,2,2012
"469",2012-03-05,0.0991258099675179,NA,192,12,27.8586458333333,0.0625,0,3,2012
"470",2012-03-13,0.143927838128637,0.135138844450315,192,0,28.4284635416667,0,0.00520833333333333,3,2012
"471",2012-03-21,0.141268965063824,0.126107413321733,192,1,29.043984375,0.00520833333333333,0.00520833333333333,3,2012
"472",2012-03-29,0.138559536697964,0.126656737178564,192,1,29.2027864583333,0.00520833333333333,0,3,2012
"473",2012-04-06,0.145069267052089,0.122178399314483,192,0,29.3919270833333,0,0.0104166666666667,4,2012
"474",2012-04-14,0.147506658919156,0.124846530457338,192,2,29.7020572916667,0.0104166666666667,0.114583333333333,4,2012
"475",2012-04-22,0.142538809170157,NA,192,22,29.1266927083334,0.114583333333333,0.0364583333333333,4,2012
"476",2012-04-30,0.140863829089287,0.140129814545314,192,7,29.320390625,0.0364583333333333,0.416666666666667,4,2012
"477",2012-05-08,0.123124173544731,0.107829824090004,192,80,29.4179166666667,0.416666666666667,0.276041666666667,5,2012
"478",2012-05-16,0.106150765102226,0.0872579092780749,192,53,29.4861197916667,0.276041666666667,0.0364583333333333,5,2012
"479",2012-05-24,0.100994060328905,0.08555651952823,192,7,29.3902604166667,0.0364583333333333,0.0104166666666667,5,2012
"480",2012-06-01,0.130892309091859,NA,192,2,29.2303645833333,0.0104166666666667,0.0625,6,2012
"481",2012-06-09,0.168795350525114,NA,192,12,29.3069791666667,0.0625,0,6,2012
"482",2012-06-17,0.132423666184363,0.115202687680721,192,0,29.0759114583333,0,0,6,2012
"483",2012-06-25,0.107134859121981,NA,192,0,28.860390625,0,0.00520833333333333,6,2012
"484",2012-07-03,NA,NA,192,1,28.469765625,0.00520833333333333,0.03125,7,2012
"485",2012-07-11,0.111234583446513,0.101151220500469,192,6,28.8236197916667,0.03125,0.0364583333333333,7,2012
"486",2012-07-19,0.105321822432326,0.0774300619959831,192,7,28.5453645833333,0.0364583333333333,0,7,2012
"487",2012-07-27,0.0854393822479654,0.0698109132548173,192,0,28.222734375,0,0,7,2012
"488",2012-08-04,0.124693263928558,0.0945364907383919,192,0,28.1850520833333,0,0,8,2012
"489",2012-08-12,0.115355167570321,0.102385316044092,192,0,28.2508333333333,0,0.015625,8,2012
"490",2012-08-20,0.0870572728231365,0.077937613427639,192,3,28.574375,0.015625,0.015625,8,2012
"491",2012-08-28,0.0830390608559052,NA,192,3,28.498359375,0.015625,0.140625,8,2012
"492",2012-09-05,0.136087368242443,NA,192,27,28.5211197916667,0.140625,0.15625,9,2012
"493",2012-09-13,0.195263646543026,NA,192,30,28.518515625,0.15625,0.328125,9,2012
"494",2012-09-21,0.0832565951323698,0.074012964963913,192,63,28.5244010416667,0.328125,0.614583333333333,9,2012
"495",2012-09-29,0.101317762344513,0.108902487903833,192,118,28.5393489583333,0.614583333333333,0.510416666666667,9,2012
"496",2012-10-07,NA,NA,192,98,28.4846614583333,0.510416666666667,0.114583333333333,10,2012
"497",2012-10-15,0.113782510425137,0.0978565340240796,192,22,28.59375,0.114583333333333,0.223958333333333,10,2012
"498",2012-10-23,0.106596390523438,0.101103433718284,192,43,28.8864583333333,0.223958333333333,0.703125,10,2012
"499",2012-10-31,0.106592097452709,NA,192,135,28.8988802083333,0.703125,0.901041666666667,10,2012
"500",2012-11-08,0.155653226056269,NA,192,173,28.98296875,0.901041666666667,1,11,2012
"501",2012-11-16,0.113987205638772,0.0962054878473282,192,192,29.0469791666667,1,1,11,2012
"502",2012-11-24,0.0984598100185394,NA,192,192,28.808359375,1,1,11,2012
"503",2012-12-02,0.123730318689788,NA,192,192,28.7262760416667,1,1,12,2012
"504",2012-12-10,0.122266703809146,0.115677752842506,192,192,28.6675520833334,1,1,12,2012
"505",2012-12-18,0.135935072104136,0.110612291842699,192,192,28.320234375,1,1,12,2012
"506",2012-12-26,0.18010089209392,0.139630064368248,144,144,28.4175347222222,1,1,12,2012
"507",2013-01-01,0.161750754739484,0.182406400640806,192,192,28.4885416666667,1,1,1,2013
"508",2013-01-09,0.134617534354329,0.128446692600846,192,192,28.6056510416667,1,0.90625,1,2013
"509",2013-01-17,0.159361058444369,0.118654418736696,192,174,28.9309635416667,0.90625,0.604166666666667,1,2013
"510",2013-01-25,0.12920295975105,0.101316925138235,192,116,29.2412239583333,0.604166666666667,0.682291666666667,1,2013
"511",2013-02-02,0.122807660068457,0.0932779107242823,192,131,29.0571614583333,0.682291666666667,0.296875,2,2013
"512",2013-02-10,0.0936185245244008,NA,192,57,29.0837760416667,0.296875,0,2,2013
"513",2013-02-18,0.0995612018904486,0.0866092393795649,192,0,29.5719791666667,0,0.171875,2,2013
"514",2013-02-26,0.0971639127224341,0.101287459333738,192,33,29.0338541666667,0.171875,0.197916666666667,2,2013
"515",2013-03-06,0.104936097800318,0.101522661745548,192,38,29.2671354166667,0.197916666666667,0,3,2013
"516",2013-03-14,0.100418256169983,0.0937514826655388,192,0,29.8892708333333,0,0.0104166666666667,3,2013
"517",2013-03-22,0.0907360836863518,0.0788717257479827,192,2,29.8873177083333,0.0104166666666667,0.223958333333333,3,2013
"518",2013-03-30,0.172834470868111,0.144929721951485,192,43,29.3850260416667,0.223958333333333,0.151041666666667,3,2013
"519",2013-04-07,0.13645700464646,0.151665518681208,192,29,29.5459375,0.151041666666667,0.0625,4,2013
"520",2013-04-15,0.147551024643083,0.148165387411912,192,12,29.756015625,0.0625,0.703125,4,2013
"521",2013-04-23,0.146569172807393,0.143963471055031,192,135,29.5835416666667,0.703125,0.125,4,2013
"522",2013-05-01,0.176670180537083,0.175333040455977,192,24,28.9065885416667,0.125,0.0520833333333333,5,2013
"523",2013-05-09,0.170686794640301,0.16530795643727,192,10,28.4227864583334,0.0520833333333333,0.322916666666667,5,2013
"524",2013-05-17,0.195947633331849,0.204821753005187,192,62,28.4090364583334,0.322916666666667,0.473958333333333,5,2013
"525",2013-05-25,0.191861474783056,0.188346110284328,192,91,28.026796875,0.473958333333333,0.479166666666667,5,2013
"526",2013-06-02,0.231840326113904,0.211628024776777,192,92,27.810234375,0.479166666666667,0.989583333333333,6,2013
"527",2013-06-10,0.202980060440799,0.170918526748816,192,190,27.7894010416667,0.989583333333333,0.53125,6,2013
"528",2013-06-18,0.180677278283632,0.0986641123890877,192,102,27.7684114583333,0.53125,0.239583333333333,6,2013
"529",2013-06-26,0.120282970594637,0.106103837490082,192,46,27.9990104166666,0.239583333333333,0.15625,6,2013
"530",2013-07-04,0.132336188838178,0.122308554748694,192,30,27.9459375,0.15625,0,7,2013
"531",2013-07-12,0.12219462254279,0.111497133970261,192,0,27.8573697916666,0,0.00520833333333333,7,2013
"532",2013-07-20,0.126936065073866,0.114188127219677,192,1,27.82234375,0.00520833333333333,0,7,2013
"533",2013-07-28,0.136030055582523,NA,192,0,27.8999739583334,0,0,7,2013
"534",2013-08-05,0.0897636311975392,0.0871530026197433,192,0,27.98703125,0,0,8,2013
"535",2013-08-13,0.0942163621851553,0.0786628723144531,192,0,27.867890625,0,0,8,2013
"536",2013-08-21,0.0986979759062629,0.0796264087160428,192,0,27.5722395833333,0,0,8,2013
"537",2013-08-29,0.0956863448023796,NA,192,0,27.6742447916667,0,0.171875,8,2013
"538",2013-09-06,0.0913484456638495,NA,192,33,27.556171875,0.171875,0.00520833333333333,9,2013
